"LANGUAGE","Українська"
"MOD_NAME","More CitizenUnits"
"MOD_DESCRIPTION","Збільшує кількість CitizenUnits (НЕ громадян!), що підтримується грою."
"MCU_BOOST","Збільшити ліміт CitizenUnit (базово: 524,288)"
"MCU_X2","Збільшити ліміт CitizenUnit до 1,048,576"
"MCU_BOOST_TXT1","Ігри, збережені з розширеними лімітами CitizenUnit стануть НЕ завантажувані без цього моду. Це не зворотно."
"MCU_BOOST_TXT2","Збереження зі збільшеними CitizenUnit завжди буде завантажено зі збільшеними лімітами."
"MCU_FIX","Виявити та виправити некоректні CitizenUnits при завантаженні"
"MCU_CLEAN","Відновити з пошкоджень у масиві CitizenUnit"
"MCU_NUKE","Скинути весь масив CitizenUnit при наступному завантаженні"
"MCU_NUKE_TXT1","Увімкнувши цю опцію, ви відновите масив CitizenUnit з нуля після того, як завантажите його. Це скине всі автомобілі та будівлі до їх поточного обчисленого значення (включаючи ефекти таких модів, як Ploppable RICO Revisited та Realistic Population) та виділить вашу кількість популяції з фіксованих значень якнайкраще, наскільки це можливо."
"MCU_NUKE_TXT2","Цей параметр може призвести до тимчасового падіння населення міста, але забезпечить, щоб будь-яке пошкодження даних було виправлено."
"MCU_NUKE_TXT3","Спробуйте це, якщо у вас виникають помилки, які можуть вказувати на пошкоджений масив CitizenUnit, такі як будівлі, які мають 0/0 популяції, навіть якщо межа CitizenUnit не досягнута, або будівлі, населення яких безпідставно змінюється."
"MCU_NUKE_TXT4","Ця опція автоматично дезактивується одразу після використання, тому що не має потреби використовувати її більше одного разу."
